DATE,WILL5000PR
2004-01-02,10777.86
2004-01-05,10906.34
2004-01-06,10925.16
2004-01-07,10957.10
2004-01-08,11009.62
2004-01-09,10929.00
2004-01-12,10989.24
2004-01-13,10935.88
2004-01-14,11022.98
2004-01-15,11036.78
2004-01-16,11116.04
2004-01-19,.
2004-01-20,11131.32
2004-01-21,11202.60
2004-01-22,11164.78
2004-01-23,11156.79
2004-01-26,11281.80
2004-01-27,11177.42
2004-01-28,11016.96
2004-01-29,11045.72
2004-01-30,11029.20
2004-02-02,11060.94
2004-02-03,11060.38
2004-02-04,10949.56
2004-02-05,10974.04
2004-02-06,11129.41
2004-02-09,11116.74
2004-02-10,11181.46
2004-02-11,11293.42
2004-02-12,11239.00
2004-02-13,11174.00
2004-02-16,.
2004-02-17,11284.06
2004-02-18,11237.28
2004-02-19,11176.92
2004-02-20,11143.58
2004-02-23,11090.04
2004-02-24,11075.48
2004-02-25,11133.62
2004-02-26,11162.14
2004-02-27,11172.89
2004-03-01,11289.48
2004-03-02,11225.44
2004-03-03,11238.32
2004-03-04,11288.37
2004-03-05,11314.42
2004-03-08,11220.62
2004-03-09,11147.30
2004-03-10,10979.40
2004-03-11,10821.48
2004-03-12,10968.18
2004-03-15,10798.60
2004-03-16,10844.34
2004-03-17,10980.88
2004-03-18,10960.56
2004-03-19,10852.97
2004-03-22,10703.78
2004-03-23,10693.36
2004-03-24,10662.52
2004-03-25,10842.86
2004-03-26,10840.18
2004-03-29,10982.52
2004-03-30,11037.06
2004-03-31,11039.42
2004-04-01,11107.42
2004-04-02,11202.42
2004-04-05,11279.89
2004-04-06,11239.80
2004-04-07,11185.18
2004-04-08,11166.06
2004-04-09,.
2004-04-12,11212.84
2004-04-13,11046.01
2004-04-14,11022.92
2004-04-15,11024.00
2004-04-16,11078.10
2004-04-19,11101.98
2004-04-20,10931.09
2004-04-21,10994.36
2004-04-22,11154.54
2004-04-23,11150.42
2004-04-26,11109.70
2004-04-27,11129.34
2004-04-28,10967.44
2004-04-29,10867.10
2004-04-30,10793.66
2004-05-03,10892.49
2004-05-04,10917.11
2004-05-05,10941.60
2004-05-06,10858.03
2004-05-07,10693.68
2004-05-10,10555.12
2004-05-11,10654.26
2004-05-12,10663.67
2004-05-13,10655.80
2004-05-14,10640.67
2004-05-17,10524.46
2004-05-18,10604.33
2004-05-19,10578.83
2004-05-20,10584.64
2004-05-21,10630.34
2004-05-24,10663.30
2004-05-25,10841.82
2004-05-26,10869.69
2004-05-27,10923.17
2004-05-28,10926.27
2004-05-31,.
2004-06-01,10939.90
2004-06-02,10971.83
2004-06-03,10873.51
2004-06-04,10934.60
2004-06-07,11108.67
2004-06-08,11117.90
2004-06-09,11005.55
2004-06-10,11046.64
2004-06-11,.
2004-06-14,10928.18
2004-06-15,11008.48
2004-06-16,11028.55
2004-06-17,11016.05
2004-06-18,11040.51
2004-06-21,10997.29
2004-06-22,11039.81
2004-06-23,11141.53
2004-06-24,11112.29
2004-06-25,11077.74
2004-06-28,11059.68
2004-06-29,11091.02
2004-06-30,11144.59
2004-07-01,11027.70
2004-07-02,10999.95
2004-07-05,.
2004-07-06,10897.72
2004-07-07,10917.42
2004-07-08,10813.41
2004-07-09,10849.93
2004-07-12,10855.57
2004-07-13,10861.31
2004-07-14,10828.33
2004-07-15,10799.08
2004-07-16,10742.37
2004-07-19,10735.14
2004-07-20,10822.63
2004-07-21,10659.51
2004-07-22,10676.25
2004-07-23,10566.84
2004-07-26,10525.49
2004-07-27,10638.11
2004-07-28,10632.54
2004-07-29,10699.89
2004-07-30,10716.61
2004-08-02,10758.31
2004-08-03,10682.55
2004-08-04,10662.26
2004-08-05,10488.53
2004-08-06,10323.01
2004-08-09,10328.93
2004-08-10,10469.92
2004-08-11,10434.91
2004-08-12,10308.46
2004-08-13,10319.39
2004-08-16,10463.57
2004-08-17,10492.94
2004-08-18,10632.63
2004-08-19,10589.60
2004-08-20,10678.18
2004-08-23,10645.39
2004-08-24,10651.33
2004-08-25,10736.53
2004-08-26,10734.87
2004-08-27,10769.65
2004-08-30,10680.17
2004-08-31,10735.48
2004-09-01,10763.59
2004-09-02,10879.76
2004-09-03,10833.07
2004-09-06,.
2004-09-07,10912.33
2004-09-08,10860.26
2004-09-09,10894.26
2004-09-10,10948.40
2004-09-13,10975.55
2004-09-14,10991.83
2004-09-15,10920.30
2004-09-16,10963.84
2004-09-17,11002.92
2004-09-20,10944.37
2004-09-21,11019.70
2004-09-22,10869.49
2004-09-23,10824.23
2004-09-24,10840.94
2004-09-27,10768.22
2004-09-28,10835.91
2004-09-29,10886.15
2004-09-30,10893.78
2004-10-01,11058.99
2004-10-04,11099.29
2004-10-05,11089.97
2004-10-06,11165.00
2004-10-07,11046.90
2004-10-08,10963.86
2004-10-11,10985.93
2004-10-12,10962.41
2004-10-13,10878.48
2004-10-14,10786.17
2004-10-15,10836.38
2004-10-18,10891.33
2004-10-19,10792.42
2004-10-20,10804.31
2004-10-21,10846.58
2004-10-22,10738.49
2004-10-25,10734.99
2004-10-26,10883.35
2004-10-27,11024.45
2004-10-28,11034.57
2004-10-29,11056.51
2004-11-01,11063.82
2004-11-02,11057.70
2004-11-03,11189.41
2004-11-04,11356.84
2004-11-05,11397.66
2004-11-08,11381.60
2004-11-09,11384.04
2004-11-10,11384.55
2004-11-11,11487.41
2004-11-12,11595.05
2004-11-15,11596.94
2004-11-16,11519.57
2004-11-17,11585.77
2004-11-18,11597.12
2004-11-19,11468.38
2004-11-22,11540.13
2004-11-23,11549.92
2004-11-24,11606.50
2004-11-25,.
2004-11-26,11619.17
2004-11-29,11593.36
2004-11-30,11552.06
2004-12-01,11720.54
2004-12-02,11706.26
2004-12-03,11718.17
2004-12-06,11706.93
2004-12-07,11567.43
2004-12-08,11623.55
2004-12-09,11677.94
2004-12-10,11676.94
2004-12-13,11776.81
2004-12-14,11829.97
2004-12-15,11868.19
2004-12-16,11833.61
2004-12-17,11765.01
2004-12-20,11756.67
2004-12-21,11867.63
2004-12-22,11909.37
2004-12-23,11917.56
2004-12-24,.
2004-12-27,11863.31
2004-12-28,11960.93
2004-12-29,11961.13
2004-12-30,11966.61
2004-12-31,11951.47
2005-01-03,11832.86
2005-01-04,11679.31
2005-01-05,11611.79
2005-01-06,11653.56
2005-01-07,11629.17
2005-01-10,11676.50
2005-01-11,11599.02
2005-01-12,11642.74
2005-01-13,11559.19
2005-01-14,11635.73
2005-01-17,.
2005-01-18,11748.96
2005-01-19,11638.89
2005-01-20,11552.97
2005-01-21,11490.38
2005-01-24,11436.62
2005-01-25,11474.14
2005-01-26,11544.35
2005-01-27,11550.59
2005-01-28,11517.75
2005-01-31,11627.25
2005-02-01,11709.38
2005-02-02,11752.25
2005-02-03,11719.08
2005-02-04,11852.99
2005-02-07,11839.19
2005-02-08,11848.39
2005-02-09,11734.30
2005-02-10,11779.42
2005-02-11,11868.64
2005-02-14,11878.65
2005-02-15,11911.18
2005-02-16,11922.89
2005-02-17,11828.40
2005-02-18,11832.07
2005-02-21,.
2005-02-22,11655.73
2005-02-23,11718.47
2005-02-24,11814.51
2005-02-25,11933.02
2005-02-28,11859.80
2005-03-01,11927.83
2005-03-02,11924.59
2005-03-03,11926.32
2005-03-04,12038.82
2005-03-07,12071.69
2005-03-08,12008.00
2005-03-09,11884.12
2005-03-10,11892.11
2005-03-11,11820.74
2005-03-14,11893.56
2005-03-15,11812.06
2005-03-16,11713.37
2005-03-17,11738.62
2005-03-18,11727.90
2005-03-21,11678.83
2005-03-22,11570.94
2005-03-23,11557.77
2005-03-24,11558.65
2005-03-25,.
2005-03-28,11576.78
2005-03-29,11477.20
